# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
19014.957862 |    5) kworker-13086  |               |        __const_udelay() {
19014.957862 |    5) kworker-13086  |               |          delay_halt() {
19014.957862 |    5) kworker-13086  |   1.693 us    |            delay_halt_mwaitx();
19014.957864 |    5) kworker-13086  |   1.983 us    |          }
19014.957864 |    5) kworker-13086  |   2.275 us    |        }
19014.957864 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957864 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957865 |    5) kworker-13086  |   0.952 us    |        }
19014.957865 |    5) kworker-13086  |               |        __const_udelay() {
19014.957865 |    5) kworker-13086  |               |          delay_halt() {
19014.957866 |    5) kworker-13086  |   1.643 us    |            delay_halt_mwaitx();
19014.957867 |    5) kworker-13086  |   1.934 us    |          }
19014.957867 |    5) kworker-13086  |   2.224 us    |        }
19014.957868 |    5) kworker-13086  |               |        amdgpu_device_rreg [amdgpu]() {
19014.957868 |    5) kworker-13086  |   0.130 us    |          amdgpu_device_rreg.part.0 [amdgpu]();
19014.957869 |    5) kworker-13086  |   0.961 us    |        }
19014.957869 |    5) kworker-13086  | + 66.595 us   |      }
19014.957869 |    5) kworker-13086  |   0.150 us    |      __drm_dev_dbg();
19014.957870 |    5) kworker-13086  | + 67.717 us   |    }
19014.957870 |    5) kworker-13086  |               |    mes_v11_0_set_hw_resources [amdgpu]() {
19014.957870 |    5) kworker-13086  |               |      mes_v11_0_submit_pkt_and_poll_completion.constprop.0 [amdgpu]() {
19014.957871 |    5) kworker-13086  |               |        amdgpu_device_wb_get [amdgpu]() {
19014.957871 |    5) kworker-13086  |   0.141 us    |          _raw_spin_lock_irqsave();
19014.957871 |    5) kworker-13086  |   0.130 us    |          _raw_spin_unlock_irqrestore();
19014.957871 |    5) kworker-13086  |   0.731 us    |        }
