# tracer: nop
#
# entries-in-buffer/entries-written: 3226/3226   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:6-554     [002] .....  2509.759806: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x8000a800
   kworker/u48:6-554     [002] .....  2509.759807: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x00000200
   kworker/u48:6-554     [002] .....  2509.759807: amdgpu_device_wreg: 0x15bf, 0x00005372, 0x00000100
   kworker/u48:6-554     [002] .....  2509.759809: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:6-554     [002] .....  2509.759811: amdgpu_device_wreg: 0x15bf, 0x00005365, 0x03000040
   kworker/u48:6-554     [002] .....  2509.759812: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000100
   kworker/u48:6-554     [002] .....  2509.759813: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000101
   kworker/u48:6-554     [002] .....  2509.760131: amdgpu_device_wreg: 0x15bf, 0x00005358, 0x00000108
   kworker/u48:6-554     [002] .....  2509.760133: amdgpu_device_wreg: 0x15bf, 0x00005364, 0x00780202
   kworker/u48:6-554     [002] .....  2509.760135: amdgpu_device_wreg: 0x15bf, 0x00005359, 0x00200004
   kworker/u48:6-554     [002] .....  2509.760137: amdgpu_device_wreg: 0x15bf, 0x0000539e, 0x00000001
   kworker/u48:6-554     [002] .....  2509.760138: amdgpu_device_wreg: 0x15bf, 0x00005d94, 0xcf401010
   kworker/u48:6-554     [002] .....  2509.760140: amdgpu_device_wreg: 0x15bf, 0x00005d95, 0x00000000
   kworker/u48:6-554     [002] .....  2509.760141: amdgpu_device_wreg: 0x15bf, 0x00005d96, 0x00000000
