# tracer: nop
#
# entries-in-buffer/entries-written: 716/716   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u48:1-10321   [006] ..... 13583.767985: amdgpu_device_wreg: 0x15bf, 0x00001161, 0x00000008
   kworker/u48:1-10321   [006] ..... 13583.767986: amdgpu_device_wreg: 0x15bf, 0x00001120, 0x40310120
   kworker/u48:1-10321   [006] ..... 13583.767987: amdgpu_device_wreg: 0x15bf, 0x00001123, 0x00000000
   kworker/u48:1-10321   [006] ..... 13583.767987: amdgpu_device_wreg: 0x15bf, 0x00001124, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.768999: amdgpu_device_wreg: 0x15bf, 0x0001a740, 0x00000001
   kworker/u48:1-10321   [006] d..1. 13583.769014: amdgpu_device_wreg: 0x15bf, 0x0001a741, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769029: amdgpu_device_wreg: 0x15bf, 0x0001a742, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769044: amdgpu_device_wreg: 0x15bf, 0x0001a743, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769059: amdgpu_device_wreg: 0x15bf, 0x0001a744, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769074: amdgpu_device_wreg: 0x15bf, 0x0001a745, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769089: amdgpu_device_wreg: 0x15bf, 0x0001a746, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769104: amdgpu_device_wreg: 0x15bf, 0x0001a747, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769119: amdgpu_device_wreg: 0x15bf, 0x0001a748, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769134: amdgpu_device_wreg: 0x15bf, 0x0001a749, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769149: amdgpu_device_wreg: 0x15bf, 0x0001a74a, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769164: amdgpu_device_wreg: 0x15bf, 0x0001a74b, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769179: amdgpu_device_wreg: 0x15bf, 0x0001a74c, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769194: amdgpu_device_wreg: 0x15bf, 0x0001a74d, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769209: amdgpu_device_wreg: 0x15bf, 0x0001a74e, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769224: amdgpu_device_wreg: 0x15bf, 0x0001a74f, 0x00555407
   kworker/u48:1-10321   [006] d..1. 13583.769234: amdgpu_device_wreg: 0x15bf, 0x000028e8, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769235: amdgpu_device_wreg: 0x15bf, 0x000028e9, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769236: amdgpu_device_wreg: 0x15bf, 0x000028ea, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769237: amdgpu_device_wreg: 0x15bf, 0x000028eb, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769238: amdgpu_device_wreg: 0x15bf, 0x000028ec, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769238: amdgpu_device_wreg: 0x15bf, 0x000028ed, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769239: amdgpu_device_wreg: 0x15bf, 0x000028ee, 0x00000000
   kworker/u48:1-10321   [006] d..1. 13583.769240: amdgpu_device_wreg: 0x15bf, 0x000028ef, 0x00000000
